date,longitude,latitude,rainfall_mm
2024-06-30,77.125,8.375,0.12
2024-06-30,77.375,8.375,0.0
2024-06-30,77.625,8.375,0.0
2024-06-30,77.875,8.375,0.0
2024-06-30,76.875,8.625,4.42
2024-06-30,77.125,8.625,3.44
2024-06-30,77.375,8.625,3.24
2024-06-30,77.625,8.625,0.0
2024-06-30,77.875,8.625,0.0
2024-06-30,78.125,8.625,0.0
2024-06-30,76.625,8.875,14.11
2024-06-30,76.875,8.875,12.81
2024-06-30,77.125,8.875,35.44
2024-06-30,77.375,8.875,0.37
2024-06-30,77.625,8.875,0.0
2024-06-30,77.875,8.875,0.0
2024-06-30,78.125,8.875,0.0
2024-06-30,76.625,9.125,26.51
2024-06-30,76.875,9.125,12.4
2024-06-30,77.125,9.125,122.77
2024-06-30,77.375,9.125,6.9
2024-06-30,77.625,9.125,0.0
2024-06-30,77.875,9.125,0.0
2024-06-30,78.125,9.125,0.0
2024-06-30,76.375,9.375,41.04
2024-06-30,76.625,9.375,46.99
2024-06-30,76.875,9.375,54.9
2024-06-30,77.125,9.375,42.18
2024-06-30,77.375,9.375,0.0
2024-06-30,77.625,9.375,0.0
2024-06-30,77.875,9.375,0.0
2024-06-30,78.125,9.375,0.0
2024-06-30,78.375,9.375,5.58
2024-06-30,78.625,9.375,7.53
2024-06-30,78.875,9.375,18.17
2024-06-30,79.375,9.375,0.74
2024-06-30,76.375,9.625,26.14
2024-06-30,76.625,9.625,42.24
2024-06-30,76.875,9.625,79.53
2024-06-30,77.125,9.625,52.9
2024-06-30,77.375,9.625,4.0
2024-06-30,77.625,9.625,2.86
2024-06-30,77.875,9.625,0.0
2024-06-30,78.125,9.625,0.0
2024-06-30,78.375,9.625,7.75
2024-06-30,78.625,9.625,3.8
2024-06-30,78.875,9.625,15.15
2024-06-30,79.125,9.625,0.0
2024-06-30,79.375,9.625,0.0
2024-06-30,76.375,9.875,62.0
2024-06-30,76.625,9.875,62.74
2024-06-30,76.875,9.875,81.56
2024-06-30,77.125,9.875,32.32
2024-06-30,77.375,9.875,18.46
2024-06-30,77.625,9.875,27.92
2024-06-30,77.875,9.875,8.15
2024-06-30,78.125,9.875,1.17
2024-06-30,78.375,9.875,0.0
2024-06-30,78.625,9.875,0.0
